0, tensor(66.9320, device='cuda:0'), tensor(86.8260, device='cuda:0')
0, tensor(5.0440, device='cuda:0'), tensor(11.2240, device='cuda:0')
0, tensor(73.3280, device='cuda:0'), tensor(91.2800, device='cuda:0')
0, tensor(73.7880, device='cuda:0'), tensor(91.6600, device='cuda:0')
0, tensor(19.5360, device='cuda:0'), tensor(36.3880, device='cuda:0')
0, tensor(66.3480, device='cuda:0'), tensor(86.2080, device='cuda:0')
0, tensor(74.1980, device='cuda:0'), tensor(91.8800, device='cuda:0')
0, tensor(75.3640, device='cuda:0'), tensor(92.5220, device='cuda:0')
0, tensor(66.7000, device='cuda:0'), tensor(86.4460, device='cuda:0')
0, tensor(74.5700, device='cuda:0'), tensor(92.0900, device='cuda:0')
0, tensor(71.8000, device='cuda:0'), tensor(90.4620, device='cuda:0')
0, tensor(65.2940, device='cuda:0'), tensor(85.3080, device='cuda:0')
0, tensor(74.2160, device='cuda:0'), tensor(91.7260, device='cuda:0')
0, tensor(69.9400, device='cuda:0'), tensor(89.0060, device='cuda:0')
0, tensor(68.6580, device='cuda:0'), tensor(88.1540, device='cuda:0')
0, tensor(66.2800, device='cuda:0'), tensor(86.0400, device='cuda:0')
0, tensor(72.5120, device='cuda:0'), tensor(90.8520, device='cuda:0')
0, tensor(74.6120, device='cuda:0'), tensor(92.0820, device='cuda:0')
0, tensor(67.8380, device='cuda:0'), tensor(87.3980, device='cuda:0')
0, tensor(75.0020, device='cuda:0'), tensor(92.3260, device='cuda:0')
0, tensor(74.9860, device='cuda:0'), tensor(92.3900, device='cuda:0')
0, tensor(67.3040, device='cuda:0'), tensor(86.9640, device='cuda:0')
0, tensor(75.1500, device='cuda:0'), tensor(92.4720, device='cuda:0')
0, tensor(70.8080, device='cuda:0'), tensor(89.7400, device='cuda:0')
0, tensor(66.4680, device='cuda:0'), tensor(86.0520, device='cuda:0')
0, tensor(73.6180, device='cuda:0'), tensor(91.2640, device='cuda:0')
0, tensor(70.8820, device='cuda:0'), tensor(89.5160, device='cuda:0')
0, tensor(73.5640, device='cuda:0'), tensor(91.5360, device='cuda:0')
0, tensor(70.1740, device='cuda:0'), tensor(89.1240, device='cuda:0')
0, tensor(73.3800, device='cuda:0'), tensor(91.5060, device='cuda:0')
0, tensor(74.6500, device='cuda:0'), tensor(92.1160, device='cuda:0')
0, tensor(71.1280, device='cuda:0'), tensor(89.8020, device='cuda:0')
0, tensor(75.2520, device='cuda:0'), tensor(92.6060, device='cuda:0')
0, tensor(75.4120, device='cuda:0'), tensor(92.6200, device='cuda:0')
0, tensor(72.2320, device='cuda:0'), tensor(90.4820, device='cuda:0')
0, tensor(75.5160, device='cuda:0'), tensor(92.6180, device='cuda:0')
0, tensor(75.6560, device='cuda:0'), tensor(92.6920, device='cuda:0')
0, tensor(72.4540, device='cuda:0'), tensor(90.7660, device='cuda:0')
0, tensor(75.6000, device='cuda:0'), tensor(92.5880, device='cuda:0')
0, tensor(75.6040, device='cuda:0'), tensor(92.7460, device='cuda:0')
0, tensor(73.1220, device='cuda:0'), tensor(91.1920, device='cuda:0')
0, tensor(75.3680, device='cuda:0'), tensor(92.5320, device='cuda:0')
0, tensor(75.4020, device='cuda:0'), tensor(92.4940, device='cuda:0')
0, tensor(72.8780, device='cuda:0'), tensor(91.0680, device='cuda:0')
0, tensor(74.4760, device='cuda:0'), tensor(91.9840, device='cuda:0')
0, tensor(73.8040, device='cuda:0'), tensor(91.4900, device='cuda:0')
0, tensor(75.7840, device='cuda:0'), tensor(92.6580, device='cuda:0')
0, tensor(70.6780, device='cuda:0'), tensor(89.1880, device='cuda:0')
0, tensor(74.2380, device='cuda:0'), tensor(91.9420, device='cuda:0')
0, tensor(75.2740, device='cuda:0'), tensor(92.3640, device='cuda:0')
0, tensor(73.6340, device='cuda:0'), tensor(91.3800, device='cuda:0')
0, tensor(74.9800, device='cuda:0'), tensor(92.3260, device='cuda:0')
0, tensor(75.1420, device='cuda:0'), tensor(92.4400, device='cuda:0')
