0, tensor(72.4140, device='cuda:0'), tensor(90.8140, device='cuda:0')
0, tensor(26.2060, device='cuda:0'), tensor(44.3360, device='cuda:0')
0, tensor(75.4220, device='cuda:0'), tensor(92.4560, device='cuda:0')
0, tensor(75.3600, device='cuda:0'), tensor(92.5020, device='cuda:0')
0, tensor(50.3420, device='cuda:0'), tensor(72.4400, device='cuda:0')
0, tensor(71.6000, device='cuda:0'), tensor(90.3360, device='cuda:0')
0, tensor(75.7460, device='cuda:0'), tensor(92.7840, device='cuda:0')
0, tensor(75.8580, device='cuda:0'), tensor(92.8080, device='cuda:0')
0, tensor(71.5140, device='cuda:0'), tensor(90.1600, device='cuda:0')
0, tensor(75.9620, device='cuda:0'), tensor(92.7920, device='cuda:0')
0, tensor(75.2320, device='cuda:0'), tensor(92.4100, device='cuda:0')
0, tensor(71.2440, device='cuda:0'), tensor(89.9020, device='cuda:0')
0, tensor(75.5860, device='cuda:0'), tensor(92.5940, device='cuda:0')
0, tensor(75.1120, device='cuda:0'), tensor(92.3880, device='cuda:0')
0, tensor(73.5400, device='cuda:0'), tensor(91.4860, device='cuda:0')
0, tensor(73.4520, device='cuda:0'), tensor(91.3980, device='cuda:0')
0, tensor(75.6200, device='cuda:0'), tensor(92.6940, device='cuda:0')
0, tensor(75.7560, device='cuda:0'), tensor(92.7280, device='cuda:0')
0, tensor(74.1380, device='cuda:0'), tensor(91.8460, device='cuda:0')
0, tensor(75.8180, device='cuda:0'), tensor(92.8200, device='cuda:0')
0, tensor(75.9520, device='cuda:0'), tensor(92.8380, device='cuda:0')
0, tensor(74.4720, device='cuda:0'), tensor(91.9800, device='cuda:0')
0, tensor(76.0100, device='cuda:0'), tensor(92.8760, device='cuda:0')
0, tensor(75.4880, device='cuda:0'), tensor(92.7340, device='cuda:0')
0, tensor(74.6300, device='cuda:0'), tensor(92.0640, device='cuda:0')
0, tensor(75.7280, device='cuda:0'), tensor(92.6520, device='cuda:0')
0, tensor(75.0360, device='cuda:0'), tensor(92.2920, device='cuda:0')
0, tensor(75.5900, device='cuda:0'), tensor(92.6440, device='cuda:0')
0, tensor(74.8420, device='cuda:0'), tensor(92.2500, device='cuda:0')
0, tensor(75.7120, device='cuda:0'), tensor(92.6400, device='cuda:0')
0, tensor(75.8240, device='cuda:0'), tensor(92.7880, device='cuda:0')
0, tensor(75.0660, device='cuda:0'), tensor(92.2940, device='cuda:0')
0, tensor(76.0100, device='cuda:0'), tensor(92.8040, device='cuda:0')
0, tensor(75.9500, device='cuda:0'), tensor(92.8700, device='cuda:0')
0, tensor(75.2660, device='cuda:0'), tensor(92.5020, device='cuda:0')
0, tensor(76.0120, device='cuda:0'), tensor(92.8640, device='cuda:0')
0, tensor(76.0600, device='cuda:0'), tensor(92.8700, device='cuda:0')
0, tensor(75.4420, device='cuda:0'), tensor(92.5240, device='cuda:0')
0, tensor(75.9840, device='cuda:0'), tensor(92.8220, device='cuda:0')
0, tensor(75.9580, device='cuda:0'), tensor(92.8660, device='cuda:0')
0, tensor(75.5060, device='cuda:0'), tensor(92.6120, device='cuda:0')
0, tensor(75.9560, device='cuda:0'), tensor(92.8260, device='cuda:0')
0, tensor(75.9980, device='cuda:0'), tensor(92.8260, device='cuda:0')
0, tensor(75.6120, device='cuda:0'), tensor(92.6680, device='cuda:0')
0, tensor(75.7700, device='cuda:0'), tensor(92.7800, device='cuda:0')
0, tensor(75.2060, device='cuda:0'), tensor(92.3560, device='cuda:0')
0, tensor(76.0180, device='cuda:0'), tensor(92.8540, device='cuda:0')
0, tensor(74.3120, device='cuda:0'), tensor(91.7660, device='cuda:0')
0, tensor(75.3080, device='cuda:0'), tensor(92.5380, device='cuda:0')
0, tensor(75.7340, device='cuda:0'), tensor(92.7440, device='cuda:0')
0, tensor(75.2200, device='cuda:0'), tensor(92.3680, device='cuda:0')
0, tensor(75.6100, device='cuda:0'), tensor(92.6660, device='cuda:0')
0, tensor(75.6820, device='cuda:0'), tensor(92.6860, device='cuda:0')
