52, 76.14600, 92.87800, 0, 25088, 0.000, 0.000
51, 76.14600, 92.87800, 0, 50176, 0.000, 0.000
50, 76.14600, 92.87800, 0, 150528, 0.000, 0.000
49, 76.14600, 92.87800, 0, 175616, 0.000, 0.000
48, 76.14600, 92.87800, 0, 200704, 0.000, 0.000
47, 76.14600, 92.87800, 0, 301056, 0.000, 0.000
46, 76.09400, 92.90400, 17408, 501760, 3.469, 0.163
45, 76.09400, 92.90400, 17408, 526848, 3.304, 0.163
44, 75.89000, 92.79400, 26112, 627200, 4.163, 0.245
43, 75.28200, 92.53000, 43520, 827904, 5.257, 0.408
42, 75.19800, 92.51200, 47872, 878080, 5.452, 0.449
41, 75.12800, 92.45200, 52224, 928256, 5.626, 0.490
40, 74.93200, 92.33600, 69632, 1128960, 6.168, 0.653
39, 74.90400, 92.27600, 73984, 1179136, 6.274, 0.694
38, 74.69400, 92.18999, 78336, 1229312, 6.372, 0.735
37, 74.41199, 92.03000, 95744, 1430016, 6.695, 0.898
36, 74.28400, 91.98400, 100096, 1480192, 6.762, 0.939
35, 74.12800, 91.90400, 104448, 1530368, 6.825, 0.980
34, 73.72800, 91.74599, 121856, 1731072, 7.039, 1.143
33, 73.70399, 91.69400, 126208, 1781248, 7.085, 1.184
32, 73.57800, 91.54200, 130560, 1831424, 7.129, 1.224
31, 73.20800, 91.32800, 147968, 2032128, 7.281, 1.388
30, 73.07400, 91.23000, 152320, 2082304, 7.315, 1.429
29, 72.61200, 91.12600, 156672, 2132480, 7.347, 1.469
28, 72.11400, 90.81800, 174080, 2333184, 7.461, 1.633
27, 70.13600, 89.68600, 252416, 2734592, 9.230, 2.367
26, 69.70000, 89.41800, 256768, 2784768, 9.220, 2.408
25, 66.31600, 87.13000, 295936, 2985472, 9.913, 2.776
24, 60.74200, 83.41800, 374272, 3386880, 11.051, 3.510
23, 58.80000, 82.02200, 393856, 3487232, 11.294, 3.694
22, 57.74600, 81.05800, 413440, 3587584, 11.524, 3.878
21, 54.19200, 78.09000, 491776, 3988992, 12.328, 4.612
20, 52.10200, 76.49000, 511360, 4089344, 12.505, 4.796
19, 51.18200, 75.71799, 530944, 4189696, 12.673, 4.980
18, 47.04000, 72.03200, 609280, 4591104, 13.271, 5.714
17, 42.52400, 67.75600, 628864, 4691456, 13.404, 5.898
16, 42.43600, 67.90600, 648448, 4791808, 13.532, 6.082
15, 40.62400, 65.76600, 726784, 5193216, 13.995, 6.816
14, 25.45800, 47.40000, 940032, 5996032, 15.678, 8.816
13, 24.74800, 46.36200, 959616, 6096384, 15.741, 9.000
12, 19.95800, 39.76600, 1066240, 6497792, 16.409, 10.000
11, 15.42800, 32.56800, 1279488, 7300608, 17.526, 12.000
10, 13.98400, 30.36800, 1332800, 7501312, 17.768, 12.500
9, 13.36600, 29.41000, 1386112, 7702016, 17.997, 13.000
8, 13.39600, 29.50400, 1599360, 8504832, 18.805, 15.000
7, 12.26200, 27.62200, 1652672, 8705536, 18.984, 15.500
6, 12.07000, 27.12800, 1705984, 8906240, 19.155, 16.000
5, 12.08000, 27.13400, 1919232, 9709056, 19.767, 18.000
4, 11.85200, 26.63400, 1972544, 9909760, 19.905, 18.500
3, 10.45800, 24.07600, 2025856, 10110464, 20.037, 19.000
2, 8.22000, 19.58400, 2079168, 10311168, 20.164, 19.500
1, 8.18600, 19.47800, 2132480, 10511872, 20.286, 20.000
0, 8.10400, 19.34600, 2172464, 10662400, 20.375, 20.375
