52, 76.14600, 92.87800, 0, 49
51, 76.14600, 92.87800, 0, 98
50, 76.14600, 92.87800, 0, 147
49, 76.14600, 92.87800, 0, 196
48, 76.14600, 92.87800, 0, 245
47, 76.14600, 92.87800, 0, 294
46, 76.09800, 92.92000, 8, 490
45, 76.09800, 92.92000, 8, 539
44, 75.93600, 92.87000, 16, 735
43, 75.78200, 92.84000, 24, 931
42, 75.78200, 92.82200, 32, 1127
41, 75.77800, 92.75999, 40, 1323
40, 75.69400, 92.71000, 48, 1519
39, 75.63200, 92.66400, 56, 1715
38, 75.61800, 92.60600, 64, 1911
37, 75.54400, 92.60000, 72, 2107
36, 75.52000, 92.54000, 80, 2303
35, 75.40400, 92.52600, 88, 2499
34, 75.19600, 92.46400, 96, 2695
33, 75.21200, 92.42200, 104, 2891
32, 75.10600, 92.35200, 112, 3087
31, 74.87800, 92.23000, 120, 3283
30, 74.79600, 92.16000, 128, 3479
29, 74.65600, 92.07600, 136, 3675
28, 74.40000, 91.88000, 144, 3871
27, 73.30000, 91.39999, 216, 4655
26, 72.96400, 91.33400, 224, 4851
25, 72.09200, 90.69800, 296, 5635
24, 67.67599, 87.98800, 368, 6419
23, 66.52600, 87.38200, 440, 7203
22, 66.24599, 87.13600, 512, 7987
21, 64.58600, 86.01400, 584, 8771
20, 64.23800, 85.75600, 656, 9555
19, 63.86200, 85.43400, 728, 10339
18, 62.64000, 84.53000, 800, 11123
17, 61.52000, 83.67200, 872, 11907
16, 61.12000, 83.43999, 944, 12691
15, 60.72200, 83.02800, 1016, 13475
14, 53.08400, 76.93000, 1408, 16611
13, 50.78800, 74.92599, 1480, 17395
12, 49.38200, 73.62200, 1872, 20531
11, 46.64000, 70.89000, 2264, 23667
10, 43.99000, 68.22200, 2656, 26803
9, 43.11600, 67.30400, 3048, 29939
8, 42.06400, 66.35800, 3440, 33075
7, 40.90000, 65.14200, 3832, 36211
6, 40.31600, 64.41800, 4224, 39347
5, 40.38200, 64.53200, 4616, 42483
4, 40.36000, 64.59400, 5008, 45619
3, 38.76400, 62.97200, 5400, 48755
2, 35.83800, 59.45600, 5792, 51891
1, 35.76800, 59.44400, 6184, 55027
0, 35.27800, 58.79000, 12456, 105203
