52, 76.14600, 92.87800, 0, 25088, 0.000, 0.000
51, 76.14600, 92.87800, 0, 50176, 0.000, 0.000
50, 76.14600, 92.87800, 0, 150528, 0.000, 0.000
49, 76.14600, 92.87800, 0, 175616, 0.000, 0.000
48, 76.14600, 92.87800, 0, 200704, 0.000, 0.000
47, 76.14600, 92.87800, 0, 301056, 0.000, 0.000
46, 76.09800, 92.92000, 7168, 501760, 1.429, 0.067
45, 76.09800, 92.92000, 7168, 526848, 1.361, 0.067
44, 76.00600, 92.88000, 10752, 627200, 1.714, 0.101
43, 75.81000, 92.81200, 17920, 827904, 2.165, 0.168
42, 75.81000, 92.82000, 19712, 878080, 2.245, 0.185
41, 75.77000, 92.73400, 21504, 928256, 2.317, 0.202
40, 75.73199, 92.71600, 28672, 1128960, 2.540, 0.269
39, 75.71400, 92.67000, 30464, 1179136, 2.584, 0.286
38, 75.61200, 92.65600, 32256, 1229312, 2.624, 0.303
37, 75.58800, 92.58200, 39424, 1430016, 2.757, 0.370
36, 75.55400, 92.51600, 41216, 1480192, 2.785, 0.387
35, 75.45600, 92.50600, 43008, 1530368, 2.810, 0.403
34, 75.23800, 92.45000, 50176, 1731072, 2.899, 0.471
33, 75.25800, 92.43200, 51968, 1781248, 2.918, 0.487
32, 75.24800, 92.42400, 53760, 1831424, 2.935, 0.504
31, 74.98400, 92.25400, 60928, 2032128, 2.998, 0.571
30, 74.87000, 92.23000, 62720, 2082304, 3.012, 0.588
29, 74.71000, 92.15200, 64512, 2132480, 3.025, 0.605
28, 74.43000, 91.92200, 71680, 2333184, 3.072, 0.672
27, 73.39600, 91.55800, 103936, 2734592, 3.801, 0.975
26, 73.16199, 91.45399, 105728, 2784768, 3.797, 0.992
25, 72.29600, 90.82800, 121856, 2985472, 4.082, 1.143
24, 68.56400, 88.69400, 154112, 3386880, 4.550, 1.445
23, 67.68800, 88.12000, 162176, 3487232, 4.651, 1.521
22, 67.39000, 87.92800, 170240, 3587584, 4.745, 1.597
21, 65.23800, 86.40800, 202496, 3988992, 5.076, 1.899
20, 64.79600, 86.15400, 210560, 4089344, 5.149, 1.975
19, 64.44800, 85.88000, 218624, 4189696, 5.218, 2.050
18, 63.29000, 85.06200, 250880, 4591104, 5.464, 2.353
17, 62.37600, 84.34600, 258944, 4691456, 5.519, 2.429
16, 62.12000, 84.25800, 267008, 4791808, 5.572, 2.504
15, 61.71200, 83.86800, 299264, 5193216, 5.763, 2.807
14, 56.13200, 79.49400, 387072, 5996032, 6.455, 3.630
13, 55.30200, 78.74800, 395136, 6096384, 6.481, 3.706
12, 53.42400, 77.26200, 439040, 6497792, 6.757, 4.118
11, 51.45800, 75.41600, 526848, 7300608, 7.216, 4.941
10, 49.14200, 73.56200, 548800, 7501312, 7.316, 5.147
9, 48.45400, 72.97000, 570752, 7702016, 7.410, 5.353
8, 46.51800, 70.97400, 658560, 8504832, 7.743, 6.176
7, 45.62400, 70.18000, 680512, 8705536, 7.817, 6.382
6, 44.85200, 69.22800, 702464, 8906240, 7.887, 6.588
5, 44.85200, 69.13600, 790272, 9709056, 8.140, 7.412
4, 45.42800, 69.92400, 812224, 9909760, 8.196, 7.618
3, 44.14600, 68.50000, 834176, 10110464, 8.251, 7.824
2, 41.39000, 65.85800, 856128, 10311168, 8.303, 8.029
1, 40.65600, 64.84600, 878080, 10511872, 8.353, 8.235
0, 39.89200, 64.11400, 894544, 10662400, 8.390, 8.390
