52, 76.14600, 92.87800, 0, 25088, 0.000, 0.000
51, 76.14600, 92.87800, 0, 50176, 0.000, 0.000
50, 76.14600, 92.87800, 0, 150528, 0.000, 0.000
49, 76.14600, 92.87800, 0, 175616, 0.000, 0.000
48, 76.14600, 92.87800, 0, 200704, 0.000, 0.000
47, 76.14600, 92.87800, 0, 301056, 0.000, 0.000
46, 75.59000, 92.67400, 41984, 501760, 8.367, 0.394
45, 75.59000, 92.67400, 41984, 526848, 7.969, 0.394
44, 74.97000, 92.41199, 62976, 627200, 10.041, 0.591
43, 74.45200, 92.20600, 104960, 827904, 12.678, 0.984
42, 74.49200, 92.16400, 115456, 878080, 13.149, 1.083
41, 74.28400, 92.00800, 125952, 928256, 13.569, 1.181
40, 74.04000, 91.80400, 167936, 1128960, 14.875, 1.575
39, 73.93400, 91.73000, 178432, 1179136, 15.132, 1.673
38, 73.58200, 91.53000, 188928, 1229312, 15.369, 1.772
37, 72.81000, 91.22000, 230912, 1430016, 16.148, 2.166
36, 72.73800, 91.18000, 241408, 1480192, 16.309, 2.264
35, 72.04000, 90.73800, 251904, 1530368, 16.460, 2.363
34, 71.42200, 90.32000, 293888, 1731072, 16.977, 2.756
33, 71.28000, 90.23800, 304384, 1781248, 17.088, 2.855
32, 70.32400, 89.68600, 314880, 1831424, 17.193, 2.953
31, 69.60600, 89.15800, 356864, 2032128, 17.561, 3.347
30, 69.60600, 89.10799, 367360, 2082304, 17.642, 3.445
29, 67.92599, 88.17400, 377856, 2132480, 17.719, 3.544
28, 67.33800, 87.66600, 419840, 2333184, 17.994, 3.938
27, 56.21000, 79.81800, 608768, 2734592, 22.262, 5.709
26, 55.81800, 79.50800, 619264, 2784768, 22.238, 5.808
25, 39.82200, 64.91199, 713728, 2985472, 23.907, 6.694
24, 13.02800, 28.84200, 902656, 3386880, 26.652, 8.466
23, 9.46200, 22.47600, 949888, 3487232, 27.239, 8.909
22, 9.28400, 21.98000, 997120, 3587584, 27.794, 9.352
21, 7.65400, 18.96400, 1186048, 3988992, 29.733, 11.124
20, 6.22200, 16.02800, 1233280, 4089344, 30.158, 11.567
19, 6.71000, 17.02000, 1280512, 4189696, 30.563, 12.010
18, 5.53200, 14.60200, 1469440, 4591104, 32.006, 13.782
17, 3.95800, 10.82800, 1516672, 4691456, 32.328, 14.224
16, 5.82600, 15.56800, 1563904, 4791808, 32.637, 14.667
15, 5.38200, 14.54400, 1752832, 5193216, 33.752, 16.439
14, 1.56200, 4.35600, 2267136, 5996032, 37.811, 21.263
13, 1.31400, 3.71400, 2314368, 6096384, 37.963, 21.706
12, 0.80200, 2.52200, 2571520, 6497792, 39.575, 24.118
11, 0.45200, 1.58600, 3085824, 7300608, 42.268, 28.941
10, 0.38600, 1.46000, 3214400, 7501312, 42.851, 30.147
9, 0.36600, 1.42600, 3342976, 7702016, 43.404, 31.353
8, 0.35400, 1.40400, 3857280, 8504832, 45.354, 36.176
7, 0.33800, 1.29200, 3985856, 8705536, 45.785, 37.382
6, 0.33600, 1.29400, 4114432, 8906240, 46.197, 38.588
5, 0.33600, 1.29400, 4628736, 9709056, 47.674, 43.412
4, 0.33000, 1.28000, 4757312, 9909760, 48.006, 44.618
3, 0.32800, 1.22000, 4885888, 10110464, 48.325, 45.824
2, 0.31800, 1.21000, 5014464, 10311168, 48.631, 47.029
1, 0.32200, 1.20000, 5143040, 10511872, 48.926, 48.235
0, 0.31400, 1.18200, 5239472, 10662400, 49.140, 49.140
